# environment: cpu=32 ram=64206MB disk=679901MB gpu=2xRTX_A5000 python=3.12.3 network=disabled_by_policy
# metric_direction: higher
# mode: loop
# run_tag: aaforecast-brentoil-case1-uptrend
# parallel: serial
# web_search: disabled
# goal: Make brentoil-case1 parity AAForecast satisfy the final-fold uptrend acceptance criteria under parity-GRU-comparable conditions.
# scope: yaml/experiment/feature_set_aaforecast/brentoil-case1-parity-aaforecast.yaml,yaml/plugins/aa_forecast_brentoil_case1_parity.yaml,plugins/aa_forecast/,neuralforecast/models/aaforecast/,tests/test_validate_only_aa_forecast.py,tests/test_gru_aaforecast_parity.py
# repos_json: [{"path":"/home/sonet/.openclaw/workspace/research/neuralforecast","role":"primary","scope":"yaml/experiment/feature_set_aaforecast/brentoil-case1-parity-aaforecast.yaml,yaml/plugins/aa_forecast_brentoil_case1_parity.yaml,plugins/aa_forecast/,neuralforecast/models/aaforecast/,tests/test_validate_only_aa_forecast.py,tests/test_gru_aaforecast_parity.py"}]
# metric: last_fold_final_gap_vs_parity_gru
# verify: UV_CACHE_DIR=/tmp/uv-cache uv run python main.py --config yaml/experiment/feature_set_aaforecast/brentoil-case1-parity-aaforecast.yaml
# guard: Preserve no leakage, one-shot h=4 horizon contract, MAPE<=0.06, and single-model fit under 600s.
# stop_condition: final_gap_vs_gru>0 with labels last_fold_uptrend,mape_le_6pct,fit_lt_600s,no_leak,one_shot_h4
# rollback_policy: dedicated experiment branch; failed iterations may use git reset --hard HEAD~1
# required_stop_labels: last_fold_uptrend, mape_le_6pct, fit_lt_600s, no_leak, one_shot_h4
iteration	commit	metric	delta	guard	status	description
45	bcda75cd46133733051578d405cc4e1a57cca5f0	-5.866112594604495	+0.45544639587402	pass:metric_improved,architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2; unmet:last_fold_not_uptrend,all_horizons_within_10pct,mape=0.20863>0.10,final_gap<=0	keep	[labels: architecture_only, pre_aa_fusion_shift, anomaly_focused_star_exog, metric_improved, fit_lt_600s, one_shot_h4, no_leak] Keeping raw STAR channels intact but narrowing the decomposed STAR-exogenous branch to anomaly-focused channels improved the valid architecture-only baseline from -6.3216 to -5.8661. The last fold still underpredicts and misses the 10 percent band, but this is the strongest bias-free improvement since the architectural reset and becomes the new retained baseline.
46	a9fff5fe2f3e59d23d07db0fe4243f47b3d1251a	-7.250162200927733	-1.384049606323238	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, pre_aa_fusion_shift, anomaly_only_star_exog, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Keeping only STAR exogenous anomalies and dropping the STAR exogenous cleaned-residual channel made the retained architecture-only baseline materially worse: the final-gap metric regressed from -5.8661 to -7.2502 and all last-fold errors increased. The STAR exogenous residual channel is helping, so future fusion changes should keep it and target a different branch.
47	796ba8563eb8d960bb12f4c58b60d63dbcdcf53b	-7.214260787963866	-1.348148193359371	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, pre_aa_fusion_shift, anomaly_focused_target_branch, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Keeping the successful anomaly-focused STAR-exogenous fusion but also narrowing the target STAR branch to anomalies plus residual made the valid architecture-only baseline materially worse: the final-gap metric regressed from -5.8661 to -7.2143 and all last-fold errors increased. The target trend/seasonal channels are helping and should remain in the retained baseline.
48	559e90d171b576055eef1711e443052dc02076cc	-6.445583038330078	-0.579470443725583	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, pre_aa_fusion_shift, critical_mask_feature, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding the boolean critical_mask as an explicit encoder feature made the architecture-only baseline slightly worse: the final-gap metric regressed from -5.8661 to -6.4456 while recent-context activation stayed flat at 2. The next fusion probe should use a richer anomaly-strength signal rather than a coarse binary mask.
49	316991728ae3d4a02f9ee82f7def3a48d7cee030	-6.4397801971435555	-0.5736676025390605	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, pre_aa_fusion_shift, target_anomaly_magnitude_feature, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Exposing the target STAR absolute robust anomaly score as an extra encoder feature made the architecture-only baseline slightly worse: the final-gap metric regressed from -5.8661 to -6.4398 while recent-context activation stayed flat at 2. A simple target anomaly-magnitude feature is not the right next signal for this line.
50	90bc4cd8a409643751568b7d943d9b16e3fcd126	-7.0656087493896464	-1.1994961547851514	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, pre_aa_fusion_shift, signed_star_exog_scores, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding signed STAR-exogenous robust anomaly scores as an extra encoder feature made the architecture-only baseline materially worse: the final-gap metric regressed from -5.8661 to -7.0656 while recent-context activation stayed flat at 2. Signed STAR-exogenous scores do not help as direct encoder features.
51	bcda75cd46133733051578d405cc4e1a57cca5f0	-5.866112594604495	0	-	pivot	[labels: pivot, attention_weighting_shift, encoder_feature_engineering_exhausted] [PIVOT] Encoder-side feature augmentation is exhausted on the retained architecture-only baseline: anomaly-only exog, target-side anomaly focus, binary critical-mask feature, target anomaly magnitude, and signed STAR-exog scores all failed or regressed. The next approach will stop adding encoder channels and instead change how anomaly strength influences attention over historical states.
52	7060520873e0fcf17ae5a382ca29f9e5a4b7fd53	-7.0656087493896464	-1.1994961547851514	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, attention_weighting_shift, anomaly_strength_prior, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Biasing sparse attention with a combined anomaly-strength prior did not help: the final-gap metric regressed from -5.8661 to -7.0656 and recent-context activation stayed flat at 2. The next attention probe should isolate exogenous anomaly strength instead of mixing target and exogenous anomaly priors.
53	637bc995f27966ed7044fe84ef654ff08c0b031a	-5.866112594604495	0	fail:metric_no_improvement_vs_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, attention_weighting_shift, exogenous_anomaly_prior, no_effect_on_metric, fit_lt_600s, one_shot_h4, no_leak] Biasing sparse attention with STAR-exogenous anomaly magnitude produced no measurable change at all versus the retained anomaly-focused STAR-exog baseline. The metric, forecasts, and recent-context activation remained identical, so the next attention probe should change how anomaly context is injected, not how its logits are biased.
54	74b4178ec8a7fec62806f68b98581656a014f0f8	-6.813043670654295	-0.9469310760498	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, attention_weighting_shift, global_context_blend, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Blending anomaly-derived context into all historical states made the valid architecture-only baseline worse: the final-gap metric regressed from -5.8661 to -6.8130 and recent-context activation stayed flat at 2. The next probe will leave attention alone and revisit STAR variable routing on top of the improved fusion path.
55	bcda75cd46133733051578d405cc4e1a57cca5f0	-5.866112594604495	0	-	pivot	[labels: pivot, star_routing_revisit, attention_exhausted] [PIVOT] Attention-side changes are now exhausted on the retained anomaly-focused STAR-exog baseline: exogenous anomaly priors were flat and global context blending regressed. The next approach returns to STAR variable routing, but only on top of the improved model-side fusion and without any directional forcing.
56	9764183f587401f349bfbcb242228bb0e17ff8cd	-6.217485198974607	-0.351372604370112	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=4	discard	[labels: architecture_only, star_routing_revisit, add_bs_core_a_two_sided, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding BS_Core_Index_A back into STAR as a two-sided channel increased last-fold recent anomaly context activation from 2 to 4 timesteps, but it still made the valid architecture-only baseline worse overall: the final-gap metric regressed from -5.8661 to -6.2175. The next routing probe will keep the same one-variable expansion but test BS_Core_Index_A as upward-only instead of two-sided.
57	538e73f597e1b055e31e4ec5af60bd21f86d1e74	-6.217485198974607	-0.351372604370112	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=4	discard	[labels: architecture_only, star_routing_revisit, add_bs_core_a_upward, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding BS_Core_Index_A back into STAR as an upward-only channel increased last-fold recent anomaly context activation from 2 to 4 timesteps, but it still made the valid architecture-only baseline worse overall: the final-gap metric regressed from -5.8661 to -6.2175. The next routing probe will keep the one-variable expansion discipline and try a different BS Core channel.
58	e35c990f2e933b66feac216d78e78f0761cc7031	-5.866112594604495	0	crash:ValueError AAForecast hist exog groups must cover hist_exog_list exactly	crash	[labels: architecture_only, star_routing_revisit, add_bs_core_b_two_sided, noncontiguous_hist_order] Adding BS_Core_Index_B as the single new STAR variable is semantically valid, but it crashes under the current AAForecast group-order invariant because BS_Core_Index_A still sits between the geopolitical trio and BS_Core_Index_B in hist_exog_cols. The next step is a minimal contract-preserving retry that reorders the experiment hist_exog_cols so the STAR block stays contiguous.
59	7318d807d94ef74055dcdc2ed83a890731965040	-6.215050354003907	-0.348937759399412	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=7	discard	[labels: architecture_only, star_routing_revisit, add_bs_core_b_two_sided, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Retrying BS_Core_Index_B as a two-sided STAR channel under a contiguous hist order substantially increased last-fold recent anomaly context activation from 2 to 7 timesteps, but it still worsened the retained baseline overall: the final-gap metric regressed from -5.8661 to -6.2151. The next routing probe will keep the same single-variable expansion but tighten BS_Core_Index_B to upward-only.
60	e09e93959e67b8aad5003c0fe2959794d52a6cc5	-6.215050354003907	-0.348937759399412	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=5	discard	[labels: architecture_only, star_routing_revisit, add_bs_core_b_upward, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding BS_Core_Index_B as an upward-only STAR channel increased last-fold recent anomaly context activation from 2 to 5 timesteps, but it still worsened the valid architecture-only baseline overall: the final-gap metric regressed from -5.8661 to -6.2151. BS Core B routing is now deprioritized for this line.
61	167373c5196d8341cbd9bf6254180871185e3b36	-6.590153808593747	-0.724041213989252	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=11	discard	[labels: architecture_only, star_routing_revisit, add_bs_core_a_upward, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Making BS_Core_Index_A an upward-only STAR channel increased last-fold recent anomaly context dramatically from 2 to 11 timesteps, but it still made the valid architecture-only baseline worse overall: the final-gap metric regressed from -5.8661 to -6.5902. More STAR activity alone is not sufficient, so this variant is discarded.
62	167373c5196d8341cbd9bf6254180871185e3b36	-6.590153808593747	-0.724041213989252	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=11	discard	[labels: architecture_only, star_routing_revisit, add_lmex_upward, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding Com_LMEX to STAR as an upward-only channel dramatically increased last-fold recent anomaly context activation from 2 to 11 timesteps, but it still worsened the valid architecture-only baseline overall: the final-gap metric regressed from -5.8661 to -6.5902. The next routing probe will keep the evidence-driven one-variable expansion rule and test the next strongest positive-anomaly candidate instead of further inflating LMEX-driven context.
63	167373c5196d8341cbd9bf6254180871185e3b36	-6.590153808593747	-0.724041213989252	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=11	discard	[labels: architecture_only, star_routing_revisit, add_lmex_upward, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding Com_LMEX as an upward-only STAR channel greatly increased last-fold recent anomaly context activation to 11 timesteps, but it still made the valid architecture-only baseline worse overall: the final-gap metric regressed from -5.8661 to -6.5902. More STAR activity alone is still not sufficient, so LMEX-as-STAR is discarded.
64	ad6315cf05454557a6a4d73df7d7d68e33bcf19f	-6.509957046508788	-0.643844451904293	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=8	discard	[labels: architecture_only, star_routing_revisit, add_bcom_upward, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding Com_BloombergCommodity_BCOM to STAR as an upward-only channel increased last-fold recent anomaly context activation from 2 to 8 timesteps, but it still worsened the valid architecture-only baseline overall: the final-gap metric regressed from -5.8661 to -6.5100. The next routing probe will keep the evidence-driven one-variable expansion rule and try Idx_OVX with two-sided semantics instead of another purely upward commodity channel.
65	f78a44f43fa510455bda27c6dea046369c3aa78b	-6.29331085205078	-0.427198257446285	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=4	discard	[labels: architecture_only, star_routing_revisit, add_oil_spread_upward, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding Com_Oil_Spread as an upward-only STAR channel increased last-fold recent anomaly context from 2 to 4 timesteps, but it still made the valid architecture-only baseline worse overall: the final-gap metric regressed from -5.8661 to -6.2933. Oil Spread as a direct STAR addition is therefore discarded.
66	f78a44f43fa510455bda27c6dea046369c3aa78b	-6.29331085205078	-0.427198257446285	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=4	discard	[labels: architecture_only, star_routing_revisit, add_ovx_two_sided, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding Idx_OVX as a two-sided STAR channel increased last-fold recent anomaly context activation from 2 to 4 timesteps, but it still worsened the valid architecture-only baseline overall: the final-gap metric regressed from -5.8661 to -6.2933. STAR-set expansion remains unproductive beyond the retained geopolitical block on the current fusion path.
67	bcda75cd46133733051578d405cc4e1a57cca5f0	-5.866112594604495	0	-	pivot	[labels: pivot, target_channel_ablation, star_set_expansion_exhausted] [PIVOT] One-variable STAR-set expansion is exhausted on the retained anomaly-focused STAR-exog baseline: BS core, LMEX, BCOM, and OVX all increased anomaly context but still regressed the main metric. The next approach returns to target-side fusion and will remove only the target residual channel while preserving target trend, seasonal, and anomaly components.
68	84ec6168410c7fa844bf477adce6d4bdcfa292a8	-5.978784484863283	-0.112671890258788	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, star_routing_revisit, add_oil_spread_two_sided, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding Com_Oil_Spread as a two-sided STAR channel on top of the retained lowess/fusion baseline regressed the valid architecture-only metric from -5.8661 to -5.9788. Although this was less harmful than some prior STAR expansions, it still does not beat the retained baseline, so direct STAR-set expansion is deprioritized again.
69	bcda75cd46133733051578d405cc4e1a57cca5f0	-5.866112594604495	0	-	pivot	[labels: pivot, model_side_shift, star_set_expansion_exhausted] [PIVOT] Controlled STAR-set expansion around the retained anomaly-focused STAR-exog baseline is no longer yielding wins: BS Core A, BS Core B, LMEX, and Oil Spread variants all failed to beat the retained metric. The next approach returns to model-side architecture changes rather than adding more STAR variables.
70	84ec6168410c7fa844bf477adce6d4bdcfa292a8	-5.978784484863283	-0.112671890258788	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, target_channel_ablation, drop_target_residual, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Removing only the target residual channel made the architecture-only baseline only slightly worse: the final-gap metric regressed from -5.8661 to -5.9788 while recent-context activation stayed flat at 2. This is closer than previous target-side probes, so the next clean target-branch ablation will test removing target seasonal instead of target residual.
71	0cf5ef335d8ce0b45d8434fcb84c8379e8edf214	-6.224672393798826	-0.358559799194331	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, target_channel_ablation, drop_target_trend, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Removing only the target trend channel made the architecture-only baseline worse: the final-gap metric regressed from -5.8661 to -6.2247 while recent-context activation stayed flat at 2. The next single-channel target ablation will test dropping target anomalies instead, while keeping trend, seasonal, and residual.
72	5acc959a26afe9088d16b9c063371b29af56f345	-6.800676574707033	-0.934563980102538	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, target_channel_ablation, drop_target_anomalies, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Removing only the target anomaly channel made the architecture-only baseline clearly worse: the final-gap metric regressed from -5.8661 to -6.8007 while recent-context activation stayed flat at 2. The next target-side probe will keep the retained full target branch and instead add signed target anomaly score as an auxiliary signal.
73	0695c1c4f9423cba920edc283d6bc2cdd7415306	-6.4397801971435555	-0.5736676025390605	fail:metric_worse_than_retained; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, target_feature_augmentation, signed_target_anomaly_score, metric_worse_than_retained, fit_lt_600s, one_shot_h4, no_leak] Adding signed target anomaly score as an auxiliary encoder feature made the architecture-only baseline slightly worse: the final-gap metric regressed from -5.8661 to -6.4398 while recent-context activation stayed flat at 2. The next target-side probe will soften the target residual contribution instead of adding another extra target feature.
74	d57f1ab316f8bfbdbab622cdce04524989aba835	-5.852478256225588	+0.013634338378907	fail:sub_1pct_gain_with_added_complexity; pass:metric_improved,architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, target_channel_scaling, target_residual_scale_0p5, metric_improved_but_marginal, fit_lt_600s, one_shot_h4, no_leak] Softening the target residual contribution with a learned gate initialized at 0.5 produced a real but tiny improvement, moving the final-gap metric from -5.8661 to -5.8525. Because the gain is under 1% and adds model complexity, it is discarded under the autoresearch simplicity rule; the next probe will test a stronger residual attenuation to see whether this family can produce a clearly non-marginal gain.
75	dcb2d66ecb647b35bea42c1913fce448f5c0271e	-5.839848632812497	+0.026263961791998	fail:sub_1pct_gain_with_added_complexity; pass:metric_improved,architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, target_channel_scaling, target_residual_scale_0p25, metric_improved_but_marginal, fit_lt_600s, one_shot_h4, no_leak] Strengthening the target residual attenuation from 0.5 to 0.25 produced a larger but still marginal gain, moving the final-gap metric from -5.8661 to -5.8398. Because the gain remains under 1% while adding model complexity, it is still discarded under the autoresearch simplicity rule; the next and likely final check in this family is an even stronger attenuation at 0.125.
76	ca25a4036000badeda0bf5eac785b7c6a9595be4	-5.855166854858396	+0.010945739746099	fail:sub_1pct_gain_with_added_complexity; pass:metric_improved,architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak,last20_context_active=2	discard	[labels: architecture_only, target_channel_scaling, target_residual_scale_0p125, metric_improved_but_marginal, fit_lt_600s, one_shot_h4, no_leak] Pushing the target residual gate down to 0.125 improved the metric again, from -5.8661 to -5.8552, but the gain remains far below the 1% retention threshold while still adding model complexity. One final boundary check at 0.0625 will determine whether this family can break out of the marginal-gain zone; otherwise it will be deprioritized.
77	9fa4a5ebc655ca03e3d3fa6769b809467d5ad5c2	-5.887149810791016	-0.021037216186521	fail:metric_worse_than_retained,mape=0.2086>0.10,last_fold_not_uptrend; pass:architecture_only,no_directional_bias,fit_lt_600s,one_shot_h4,no_leak	discard	[labels: architecture_only, target_channel_scaling, target_residual_scale_0p0625, family_exhausted] The final 0.0625 target-residual attenuation boundary check did not break out of the marginal-gain zone; it actually regressed below the retained architecture-only baseline and still left the final fold non-upward. This closes the target-residual attenuation family as exhausted.
